,text,lable,pred,pred_proba
5983,ر حال خیلی زود خشک شد با اینکه زیاد استفاده نکردم و تو ذوقم خورد,0,1,0.7036891579627991
6005,زود تموم میشه,1,0,0.21888288855552673
6017,برای چند روز اول خیلی خوبه راحت میشه ازش استفاده کرد چون هم کلفت میشه کشید و هم نازک,1,0,0.004686410538852215
6028,کیفیتش خوبه ولی حجمش خیلی خیلی کمه,1,0,0.060295965522527695
6146,برای من یک هفته ی خشک شد ولی قبلش خیلی راضی بودم,1,0,0.20974008738994598
6151,خیلی کمرنگ می باشد,1,0,0.3253803551197052
6156,میشه هم خط چشم نازک و هم کلفت کشید باهاش پخش هم نمیشه,0,1,0.5751279592514038
6181,آقا خیلی زود خشک میشههههه🥲,1,0,0.349638968706131
6208,باید زود درشو ببندی خشک میشه من 35 بود گرفتمممممم بیمعرفتا ارزون کردن بعدش,0,1,0.511035680770874
6241,خشک بود ، من نظرارو خوندم که گرفتم ولی خشک بود ، شایدم شانس من بود,1,0,0.4853185713291168
6254,زود خشک شد,0,1,0.5077263712882996
6259,برای بعضی ها عالی میاد اما برای من خشک شده بود,1,0,0.06965979933738708
6279,یکبار بیشتر استفاده نکردم اما جوهرش تموم شد با اینکه درش رو کامل بستم دونه دونه میشه و رنگش پس از هر بار استفاده کمتر و کمتر میشه,0,1,0.8269339203834534
6280,ظاهرش خیلی کیوته اما اصلا رنگ دهی خوبی نداره,1,0,0.3287563621997833
6365,نمیشه خیلی استفاده کرد خشک میشه بعد باید سر پایینی بذاری دوباره رنگ بگیره,0,1,0.8264773488044739
6407,کیفیت خوبی هم داشت راضی بودم اما کلا زود خشک شد زیاد استفاده هم نکردم,1,0,0.2202502191066742
6531,زود خشک میشع,1,0,0.2344617396593094
6543,وقتی خریدمش خوب بود اما فقط تا سه روز بعدش خشک شد فقط جنبه زیبایی داره,1,0,0.4344085454940796
6603,وقتی میکشی بعدش با یه دست کشیدن پاک میشه ..میزان موادش فکر کنم خیلی کم باشه و نشه زیاد باهاش کارکرد .. اما ظاهر قشنگی داره,1,0,0.36433300375938416
6613,سریع پاک میشه و کمرنگه,1,0,0.002724023535847664
6637,روش نوشته ضد آب اما من با دست خیلی آروم رو پلکم کشیدم پاک شد. بنظرم اگه دنبال یچیز برای تمرین و یادگیری خط چشم کشیدن هستید بخرید و الا به درد مجلس و مهمونی و بیرون نمیخوره. چون ماندگار نیست,1,0,0.3313850462436676
6642,واقعا ینی چی اصلا رنگ ندارع خشک شدس سرشم باز بود واقعا چرا دیگ فرستادین ادم این چیزارو از دیجی کالا نخره چرت و پرت و خراب میفرستن نخرید ارزش مرجوع نداشت انداختم دور,0,1,0.9959307312965393
6666,سریش خیلی نازکه,0,1,0.5844629406929016
6676,خیلی عالی مناسب مبتدی ها، نازک و روون و ریزش نداره,1,0,0.0006910949014127254
6683,خیلی خیلی خیلی بد😡😡😡😑,1,0,0.03685181960463524
6727,بعدیکبار کشیدن تموم شد,1,0,0.42230942845344543
6741,من دوتا از دوتا فروشنده‌گرفتم اونی ک از چیکا بود خشک شده بود چون درش باز فریتاده بودن امانیلی بیوتی خوب بود,1,0,0.018459472805261612
6767,کم رنگ است.....,1,0,0.28593775629997253
6777,Rang nadash,1,0,0.03497454151511192
6793,رسید دستم در خط چشم باز بود یه مقداری خشک شده بود,1,0,0.2516334354877472
6821,فقط پول ظاهرش هیچی رنگ نمیده ی روزه گرفتم یکم با تف کشید اولین بار اگ یچیزکارا میخاین پولتونو دور نریزید رنگ نداره,0,1,0.9937769174575806
6846,بسیار عالی و شیک,1,0,0.0012119273887947202
6932,اصلننننن جوهر نداره,1,0,0.2958732843399048
6955,خیلی خوشگله ولی متاسفانه این فروشنده برای من خط چشم خشک شده ارسال کرده واقعا این کار درست نیست,1,0,0.3525867462158203
6977,دوستان توصیه میکنم حتما خرید کنین دقیقا همون چیزی که داخل تصویر هست فرستادن واقعا کیوت و جذابه,1,0,0.0005661937175318599
6987,قشنگ بود ولی رنگش با تصویر فرق داشت روشن تر بود مرجوع کردم,1,0,0.14586183428764343
7006,ماندگاریش خیلی کمه اندازش خوب بود کم رنگه با این قیمت باید انتظار همچین چیزیو داشت ولی لطفا کیفیتو ببرید بالاتر,0,1,0.6162715554237366
7027,کم رنگ باید حتما فشار بدین تا خوب بکشه خیلی سریع پاک میشه حتی بدون شستن,1,0,0.23178867995738983
7038,ظاهرش قشنگه ولی سریع پاک میشه,1,0,0.15321171283721924
7080,قلمش خوبه اما جوهر نداره,1,0,0.039380110800266266
7130,خوب بود,1,0,0.05556638911366463
7198,من اول فک کردم بزرگه ولی خیلی کوچیکتر از اینکه فکرشم میکردم,1,0,0.3860408067703247
7233,جنسش خوبه ولی خیلی کوچیکن مثل اسباب بازی میمونن,1,0,0.39653074741363525
7235,خیلی کوچیک بود ولی کار راه بندازه میشه ازش استفاده کرد,1,0,0.07953492552042007
7240,خیلیییی کوچیکن ولی جلدش کیوته,1,0,0.19119948148727417
7257,فقط براش های کوچیکش قابل استفادس,1,0,0.27924132347106934
7259,کاش جا قلمی کیفیت بهتری داشت,0,1,0.5065434575080872
7328,کوچولو هستش ، برای من از یک نوع براش دوتا فرستاده بودن 🤦‍♀️,0,1,0.5236148238182068
7346,وقتی بشوریشم چسباش باز نمیشه,0,1,0.6351708173751831
7399,من صورتیشو سفارش داده بودم ولی برام مشکی فرستادن متاسفانه,1,0,0.32549741864204407
7402,رنگ براش مطابق با عکس نبود,0,1,0.5506152510643005
7414,برای استفاده ساده خونه نه روزانه و حرفه ایی و اندازه اوت از داخل عکس ریز تره,1,0,0.018321873620152473
7449,من رنگ صورتی که از بقیه رنگ ها گرون تر بود و سفارس دادم ولی رنگ یاسی و برای من فر ستادند.,1,0,0.0628146380186081
7452,پول دورانداختنه,1,0,0.39080810546875
7479,فروشنده هر رنگی که دوست داره ارسال میکنه و فقط سر کاریم. کالباسی سفارش دادم یاسی ارسال کرده چون دوست داشته,1,0,0.4242740273475647
7486,یکی از براش ها چسبش خراب بود,0,1,0.5885332226753235
7519,خیلی کوچیکم فقط به درد آرایش حرفه ایی میخوره,1,0,0.3860538899898529
7531,خیلی معمولی و هیچ چیز خاصی ندارد,0,1,0.693141520023346
7545,یکم کثیف و خط و خش داشت براش بزرگشم تراکمش کمه و اینکه خیلی سفت و نرمی یک براش مناسب رو نداره,1,0,0.4330108165740967
7558,براشاش اکثرا کوچیکه سایز دسته ش رو با خودکاری که توی عکس گذاشتم مقایسه کنید,0,1,0.5772184133529663
7565,یه تعداد و قرمز و یه تعداد صورتی فرستادن، آرزو به دل موندیم پولی که میدیم جنس و درست بفرستن آدم توی ذوقش نخوره,1,0,0.3951084613800049
7581,خوب نیست کیفیت,0,1,0.9303405284881592
7582,زیبا اما کیفیت پایین,1,0,0.299213171005249
7609,خیلی نرمه، شات رژ گونه اش، مثه بقیه شاتا محکم نیست، نرمه نمیشه فشار دارد,0,1,0.5677144527435303
7627,برای آرایش حرفه ای خوب نیست من برای پاک کردن گندکاریای آرایش ازش استفاده میکنم,1,0,0.07030879706144333
7640,این براش رو برای خودم نخریدم ولی وقتی نگاهش کردم و بهش دست زدم فهمیدم اون براش بزرگه زیادی اوکی نیست یعنی حجم موهاش زیاد نیست...باید بیشتر از این باشه,0,1,0.6019830703735352
7652,من سه تا از این براش سفارش دادم داخل یکیش شش تا براش بود و دوتاش هفت تا بسته بندی نداشت اصلا تازگیا دیجی کالا واقعا کم کاری می‌کنه حداقل داخل یه پلاستیکی چیزی میذاشتید و دوتاش کلا متفاوت بود داخلشون واقعا نمی‌دونم چی بگم استفاده نکردم ولی برای داخل کیف مناسبه و مخصوصا هدیه دادن,1,0,0.26236382126808167
7653,در حدی خوبه اما خیلی کوچیکه اما کار راه انداز هست,1,0,0.06341860443353653
7662,خوشگله برای بازی اما برای ارایش نه گرونم هست,1,0,0.014281786978244781
7668,برا بچه دبستانیا خوبه که بزارن تو کیفشونو به دوستاشون پز بدن,1,0,0.12725889682769775
7699,من برای تمرین استفاده میکنم ولی خیلی کوچیکه,1,0,0.4159688353538513
7710,قیمت بالا کیفیت ولی عالی,1,0,0.015440216287970543
7781,حالت مایع نداره مثل ژل الووراست .من در کل ازکیفیت تونرها و میسلارواترهای ساخت ایراان میترسم .,1,0,0.30966487526893616
7799,خرید از این فروشنده بدلیل نقض حقوق مصرف کننده توصیه نمی شود اما تونر عالی است,0,1,0.5292137265205383
7803,به دلیل عدم تناسب محصول با پوست مرجوع کردم,0,1,0.9036948680877686
7815,وقتی به دستم رسید دربش شکسته بود مجبور شدم بریزم تو ظرف دیگه,0,1,0.5262364745140076
7872,پلمپ بهداشتی سر محصول باز شده بود و درش شکسته بود جوری ک نمیشد استفاده کرد،من سرشو عوض کردم خودم.,0,1,0.8836840987205505
7980,محصول خوبیه ولی بستع بندیش خوب نیست و درش شکسته بود و کمیش ریخته بود تو پلاستیکش,1,0,0.05994875729084015
7996,دقت کنید اشتباه خرید نکنید مشخصات فنی رو مطالعه کنید تا سازگار با پوستتون خرید کنید در تیتر محصول عنوان نشده که سازگار با چه پوستیه,0,1,0.6496521234512329
8004,لطفا قبل از فرستادن محصول چک کنید سالمه یا خیر و صد در صد میدونستین که درش شکسته واقعا که .....,0,1,0.9451743960380554
8012,با توجه به اينكه محصول كيفيت خوبي داره بسته بندي درب محصول خيلي بده و كيفيت كار نامرغوبه,1,0,0.2541232705116272
8035,من از حالت ژل بودنش خوشم نمیاد,0,1,0.6105812788009644
8162,در شکسته,0,1,0.7631353139877319
8181,با استفادش پوستم خیلی جوش زیر پوستی زدم,1,0,0.4028712213039398
8202,برای پوست خشک میخواستم ولی برای پوست چرب فرستادن,0,1,0.5864270329475403
8205,بسته بسیار کثیفی داشت که مجبور شدم، زیر شیر بشورمش تا بتونم استفاده کنم,0,1,0.6192825436592102
8235,شک دارم تاریخ مصرف درست داشته باشه,1,0,0.24660873413085938
8507,تیکه های گل داخلش هست ولی خیلی ملایم نبود,1,0,0.2067447453737259
8520,من به عنوان پاک کننده ازش استفاده نمیکنم چون تونر برای تنظیم پی اچ پوست هست و طی استفاده شاهد روشنتر شدن لک های افتاب سوخته صورتم شدم,0,1,0.8322581052780151
